"objid","poi_id","kategorie","quartier","strasse","baumgattunglat","baumartlat","baumnamelat","baumnamedeu","baumnummer","status","baumtyp","baumtyptext","pflanzjahr","genauigkeit","kronendurchmesser","geometry"
"210","SW-3536","Parkbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Pinus","sylvestris","Pinus sylvestris","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","SW-3536","Grünanlage","0","nicht zugeordnet","1950","Bildschirmeingabe","9","POINT (2686295.8 1250959.4)"
"213","SW-2796","Parkbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Acer","saccharinum","Acer saccharinum 'Laciniatum Wieri'","Silber-Ahorn","SW-2796","Grünanlage","0","nicht zugeordnet","1950","Bildschirmeingabe","18","POINT (2686302 1250933.6)"
"216","SW-1137","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr. 257","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-1137","Strassenbaum","0","nicht zugeordnet","2004","Eingemessen","5","POINT (2685830 1251601.2)"
"219","SW-629","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-629","Strassenbaum","0","nicht zugeordnet","","Eingemessen","18","POINT (2685820.2 1251604.5)"
"222","SW-459","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-459","Strassenbaum","0","nicht zugeordnet","","Eingemessen","10","POINT (2685799.2 1251612.4)"
"225","SW-458","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-458","Strassenbaum","0","nicht zugeordnet","","Eingemessen","14","POINT (2685791.2 1251615)"
"228","SW-457","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-457","Strassenbaum","0","nicht zugeordnet","","Eingemessen","8","POINT (2685782 1251618.4)"
"231","SW-455","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-455","Strassenbaum","0","nicht zugeordnet","2003","Eingemessen","7","POINT (2685763 1251625)"
"234","SW-454","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-454","Strassenbaum","0","nicht zugeordnet","","Eingemessen","8","POINT (2685753.5 1251628.4)"
"237","SW-450","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-450","Strassenbaum","0","nicht zugeordnet","","Eingemessen","9","POINT (2685716.5 1251641.5)"
"240","SW-449","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-449","Strassenbaum","0","nicht zugeordnet","","Eingemessen","12","POINT (2685707 1251644.8)"
"243","SW-448","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-448","Strassenbaum","0","nicht zugeordnet","","Eingemessen","10","POINT (2685697.8 1251648.1)"
"246","SW-447","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-447","Strassenbaum","0","nicht zugeordnet","","Eingemessen","9","POINT (2685688.5 1251651.6)"
